he_price,annual_loss_kg,total_cost_eur
229.54487120364448,26.175841868400997,55533.34160240946
188.99446201632583,37.74418627741939,43010.125072464616
244.27577116957076,35.800443768744174,51587.366164797815
218.47823553273417,37.63992739017719,50571.76625935597
149.9510340322836,38.30109365492121,53211.06631699776
276.8627322689813,28.464304509074687,61236.819426092334
227.5750585482332,28.17130274689681,71202.46856993649
231.4578388426649,40.00448993870282,47810.186425867396
155.43204484692907,30.594587726049227,50877.16015614869
190.13861095082882,15.748960555963961,45826.63866074469
182.45309281885585,39.54128708518705,47070.59443081628
259.8971217381507,27.746170983518624,57974.73147074761
211.56515413577853,38.269951145336776,58108.42804232667
237.6128621222886,44.74975294521879,46122.698099915804
189.44402235178865,35.11733720083363,56797.97383717375
168.1843259548926,41.97036082164472,47415.588901582836
201.09945360549182,36.07658376375341,57349.60303592337
144.12469623101865,46.11200529698803,66801.85070168025
238.47586276067824,27.56525023870026,60278.19052149555
210.06307879808506,34.94249513708457,58760.264864639816
227.11383376987652,39.71213123529027,54789.04831279213
180.94282995187527,33.66711770092968,56626.764759887286
274.6332622458479,43.06553297656869,66333.26158969106
251.55353288665376,31.975723223424538,61756.936885925534
230.2382740733847,49.485598061402214,60599.728578638125
164.37076802021826,49.85538252990572,59933.7781078937
191.7835190086356,36.9745039735911,46558.60592531744
139.47250799890747,38.86820826248232,49546.352289570365
159.17586459157368,43.34170004937246,62559.430598595405
216.57191727723995,26.689618207228435,62516.48539753066
225.13329808075997,25.815999897955464,56560.82992699418
273.2888361214876,43.79493239700344,73800.39197771752
178.28980791269257,36.917919310110996,60646.24407402691
182.42149492583997,33.414463278141476,54230.49620043863
192.0715311681702,35.077863120168125,46979.43685527373
163.73772885884304,18.297709693451516,64505.89142875551
155.70226136820241,33.66606379880099,61404.4219220761
192.69892908233163,29.728672825647436,70115.17479998541
168.14721776604904,41.426501435305575,74300.5306021592
214.84787332795457,41.96521544868804,48720.614838637965
188.82381612250032,39.036761638909375,47096.400348705814
239.38327941425823,37.76821054159399,36135.478796502386
218.86937470948095,24.518572758958125,62713.26178476013
177.01062413017843,39.13450155997812,62179.084046055956
239.30753950150492,39.405785618663685,60212.33359953297
234.52195246214018,43.71634857638111,50443.377574301194
184.02166238259247,49.827468687011375,58457.06410710223
174.6553094711301,23.15207528499874,55521.276833862
216.49910938972243,32.280662220672504,63250.539956319415
157.13983537001283,29.804133539896487,56867.3119535275
165.00772506936278,36.20755031869552,61284.93586835176
126.21301296858647,35.09381300752627,53436.24891692368
231.59575546756588,33.36142548843898,67178.21969087195
214.2102850614424,42.19323052980822,64092.06455900091
219.53529789177318,27.290100521734516,46495.675781928825
230.60842645711523,27.712149728251756,67504.41818382604
